No.,입고일,거래처,거래처명,품목군,품목코드,품목정보,구분,입고구분,매입구분,화폐,입고량,단가,금액,환율,환산금액,정산구분,정산수량,입고창고,입고전표번호,접수번호,DO번호,비고,사업장,최종수정자,최종수정일시,등록프로그램
1.0,20240102.0,3033.0,(주)삼원테크,DM3,MCP-A288-00-N1,DM3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (BLACK),정상,외주가공,국내,KRW,30240,15.0,453600,1.0,453600,정산완료,30240.0,경유창고,O1202401020016,PA202401020017,DO202401020033,코지텍 직납,㈜삼광,품질공용,20240102163700.0,수입검사등록확인
2.0,20240102.0,3033.0,(주)삼원테크,E3,MCP-A322-00-N1,E3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (Dark Gray),정상,외주가공,국내,KRW,80640,15.0,1209600,1.0,1209600,정산완료,80640.0,경유창고,O1202401020018,PA202401020016,DO202401020031,삼광윈테크 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
3.0,20240102.0,3033.0,(주)삼원테크,E3,MCP-A322-00-N1,E3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (Dark Gray),정상,외주가공,국내,KRW,100800,15.0,1512000,1.0,1512000,정산완료,100800.0,경유창고,O1202401020017,PA202401020017,DO202401020032,코지텍 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
4.0,20240102.0,3033.0,(주)삼원테크,Mars,PNO-A438-00-Z,MARS KNOB 가공 ◈ (GATE CUTTING) ◈ (Black),정상,외주가공,국내,KRW,10000,56.0,560000,1.0,560000,정산완료,10000.0,경유창고,O1202401020023,PA202401020019,DO202401020027,,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
5.0,20240102.0,3033.0,(주)삼원테크,Tab S6 Lite,PCB-B463-00-Z,TAB S6 LITE REAR BODY 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,32.0,320000,1.0,320000,정산완료,10000.0,경유창고,O1202401020019,PA202401020019,DO202401020025,,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
6.0,20240102.0,3033.0,(주)삼원테크,Tab S6 Lite,PNO-A423-00-Z,TAB S6 LITE KNOB 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,71.0,710000,1.0,710000,정산완료,10000.0,경유창고,O1202401020021,PA202401020019,DO202401020026,,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
7.0,20240102.0,3033.0,(주)삼원테크,Tab S7,PNO-A425-00-Z,TAB S7 KNOB 가공 ◈ (GATE CUTTING) ◈ (Black),정상,외주가공,국내,KRW,6000,56.0,336000,1.0,336000,정산완료,6000.0,경유창고,O1202401020022,PA202401020018,DO202401020030,경진기업 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
8.0,20240102.0,3033.0,(주)삼원테크,TAB S9 FE,PCB-B683-02-Z,TAB S9 FE REAR BODY 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,37.0,370000,1.0,370000,정산완료,10000.0,경유창고,O1202401020020,PA202401020018,DO202401020028,경진기업 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
9.0,20240102.0,3033.0,(주)삼원테크,TAB S9 FE,PNO-A509-02-Z,TAB S9 FE KNOB 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,65.0,650000,1.0,650000,정산완료,10000.0,경유창고,O1202401020024,PA202401020018,DO202401020029,경진기업 직납,㈜삼광,품질공용,20240102163702.0,수입검사등록확인
10.0,20240102.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00,E3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (Dark Gray),정상,외주가공,국내,KRW,60000,397.0,23820000,1.0,23820000,정산완료,60000.0,제품창고,O1202401020048,PA202401020023,DO202401020034,,㈜삼광,김태완,20240102173814.0,수입검사등록확인
11.0,20240102.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00-N2,E3 DECO CNC #2 ◈ (전면 형상가공 ) ◈ (Dark Gray),정상,외주가공,국내,KRW,80284,174.0,13969416,1.0,13969416,정산완료,80284.0,경유창고,O1202401020013,PA202401020014,DO202401020024,신진 #2차 <윤성>,㈜삼광,김태완,20240102161653.0,수입검사등록확인
12.0,20240102.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00-N2,E3 DECO CNC #2 ◈ (전면 형상가공 ) ◈ (Dark Gray),정상,외주가공,국내,KRW,4711,174.0,819714,1.0,819714,정산완료,4711.0,경유창고,O1202401020025,PA202401020021,DO202401020022,알루코(공정협의품),㈜삼광,품질공용,20240102163710.0,수입검사등록확인
13.0,20240102.0,3088.0,(주)삼광윈테크,SM-F721U,GH64-08900A-N,SM-F721U FRONT DECO SUB NC  ◈ (전면DAMPER 가공 2POINT) ◈ (BLACK),정상,외주가공,국내,KRW,143,800.0,114400,1.0,114400,정산완료,143.0,경유창고,O1202401020003,PA202401020007,DO202401020008,,㈜삼광,김태완,20240102145049.0,수입검사등록확인
14.0,20240102.0,3088.0,(주)삼광윈테크,SM-F721U,GH64-08900A-N,SM-F721U FRONT DECO SUB NC  ◈ (전면DAMPER 가공 2POINT) ◈ (BLACK),정상,외주가공,국내,KRW,1196,800.0,956800,1.0,956800,정산완료,1196.0,경유창고,O1202401020002,PA202401020007,DO202401020007,,㈜삼광,김태완,20240102145049.0,수입검사등록확인
15.0,20240102.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08861A-N,SM-F936U FRONT DECO MAIN NC ◈ (전면: DAMPER 가공 2P) ◈ (BLACK),정상,외주가공,국내,KRW,13,975.0,12675,1.0,12675,정산완료,13.0,경유창고,O1202401020001,PA202401020007,DO202401020010,,㈜삼광,김태완,20240102145047.0,수입검사등록확인
16.0,20240102.0,3226.0,준테크(전 유신테크),SM-F731U,GH64-09152A-N,SM-F731U FRONT DECO SUB NC ◈ (GATE 가공 6POINT ) ◈ (BLACK),정상,외주가공,국내,KRW,5040,725.0,3654000,1.0,3654000,정산완료,5040.0,경유창고,O1202401020012,PA202401020015,DO202401020023,,㈜삼광,김태완,20240102152310.0,수입검사등록확인
17.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020030,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
18.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020032,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
