자품목코드,품명,규격,단위,계정,매입수량,기초재고,현재고,모품목코드,모품목품명,모품목규격,단위.1,매출수량,기초재고.1,소요원수,매출환산수량,기초환산수량,현재고.1,투입율
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A288-01,DM3 DECO CNC #3,배면형상가공/타발,EA,34000,36900,2e-05,0.68,0.738,30300,-67199.32
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A288-04,DM3 DECO CNC #3 GRAY,배면형상가공/타발,EA,3000,5900,2e-05,0.06,0.118,0,-5899.94
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A288-03,DM3 DECO CNC #3,배면형상가공/타발,EA,44900,29900,2e-05,0.898,0.598,14400,-44299.102
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A322-00,E3 DECO CNC #3,배면형상가공/타발,EA,1250000,645606,2e-05,25.0,12.91212,163659,-809240.000006
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A322-01,E3 DECO CNC #3,배면형상가공/타발,EA,1390000,549900,2e-05,27.8,10.998,113000,-662872.200005
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A288-00,DM3 DECO CNC #3,배면형상가공/타발,EA,50000,103900,2e-05,1.0,2.078,8300,-112199.000001
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A288-02,DM3 DECO CNC #3,배면형상가공/타발,EA,84000,29373,2e-05,1.68,0.58746,3000,-32371.32
AL-6013,AL 6013  130*100*10T,130*100*10T,EA,원자재,1962240.0,883848.0,0.0,MCP-A322-02,E3 DECO CNC #3,배면형상가공/타발,EA,290000,149900,2e-05,5.8,2.998,109700,-259594.200001
,,Sub Total,,,,,,,,,,3145900,1551379,,62.918,31.02758,442359,
GH02-24047A,SM-F721U SPONGE FRONT DECO TOP,DSS-DL7010-S+TTI1100MAS#20,EA,부자재,79000.0,0.0,0.0,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN,BLACK,EA,76022,22849,1.0,76022.0,22849.0,3708,49464.710773
,,Sub Total,,,,,,,,,,76022,22849,,76022.0,22849.0,3708,
GH02-24048A,SM-F721U SPONGE FRONT DECO SIDE,DSS-DL7010-S+TTI1100MAS#20,EA,부자재,160000.0,0.0,0.0,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN,BLACK,EA,76022,22849,2.0,152044.0,45698.0,3708,125486.714388
,,Sub Total,,,,,,,,,,76022,22849,,152044.0,45698.0,3708,
GH02-24205A,SM-F936U TAPE CONDUCTIVE DECO SIDE,AHSF 30 BS,EA,부자재,40000.0,0.0,0.0,GH98-47686A,SM-F936U ASSY-FRONT DECO SUB,BLACK,EA,38486,35705,1.0,38486.0,35705.0,1127,1653.107375
,,Sub Total,,,,,,,,,,38486,35705,,38486.0,35705.0,1127,
GH02-24273A,SM-F936U SPONGE FRONT DECO SUB SIDE,CS0010-ER7M3 0.1T + 2100MAS#20,EA,부자재,16000.0,0.0,0.0,GH98-47686A,SM-F936U ASSY-FRONT DECO SUB,BLACK,EA,38486,35705,1.0,38486.0,35705.0,1127,1651.768438
,,Sub Total,,,,,,,,,,38486,35705,,38486.0,35705.0,1127,
GH02-24274A,SM-F936U SPONGE FRONT DECO MAIN TB,'CS0010-ER7M3 0.1T + 2100MAS#20,EA,부자재,13000.0,0.0,0.0,GH98-47685A,SM-F936U ASSY-FRONT DECO MAIN,BLACK,EA,37734,26753,2.0,75468.0,53506.0,1072,47638.884154
,,Sub Total,,,,,,,,,,37734,26753,,75468.0,53506.0,1072,
GH02-24275A,SM-F936U SPONGE FRONT DECO MAIN SIDE,'CS0010-ER7M3 0.1T + 2100MAS#20,EA,부자재,10000.0,0.0,0.0,GH98-47685A,SM-F936U ASSY-FRONT DECO MAIN,BLACK,EA,37734,26753,1.0,37734.0,26753.0,1072,9906.3247
,,Sub Total,,,,,,,,,,37734,26753,,37734.0,26753.0,1072,
GH63-20629A,PROTECTOR VINYL-FRONT DECO SUB SIDE2,,EA,부자재,11000.0,0.0,0.0,GH98-47686A,SM-F936U ASSY-FRONT DECO SUB,BLACK,EA,38486,35705,1.0,38486.0,35705.0,1127,1650.754091
,,Sub Total,,,,,,,,,,38486,35705,,38486.0,35705.0,1127,
GH63-20630A,PROTECTOR VINYL-FRONT DECO SUB TB,,EA,부자재,33000.0,0.0,0.0,GH98-47686A,SM-F936U ASSY-FRONT DECO SUB,BLACK,EA,38486,35705,2.0,76972.0,71410.0,1127,40137.836061
,,Sub Total,,,,,,,,,,38486,35705,,76972.0,71410.0,1127,
GH63-20631A,PROTECTOR VINYL-FRONT DECO MAIN SIDE1,,EA,부자재,12000.0,0.0,0.0,GH98-47685A,SM-F936U ASSY-FRONT DECO MAIN,BLACK,EA,37734,26753,1.0,37734.0,26753.0,1072,9906.770584
,,Sub Total,,,,,,,,,,37734,26753,,37734.0,26753.0,1072,
GH63-20632A,PROTECTOR VINYL-FRONT DECO MAIN SIDE2,,EA,부자재,10000.0,0.0,0.0,GH98-47685A,SM-F936U ASSY-FRONT DECO MAIN,BLACK,EA,37734,26753,1.0,37734.0,26753.0,1072,9906.3247
